Mechanism Of Injury,Australian rules_Count,Australian rules_Percentage,Rugby_Count,Rugby_Percentage,Soccer_Count,Soccer_Percentage,Touch football_Count,Touch football_Percentage,Other & Unspecified football_Count,Other & Unspecified football_Percentage,Total_Count,Total_Percentage
Falls,307.86,6.428481937774066,445.2,9.85609918087226,352.59,7.371733221827306,59.849999999999994,6.5409836065573765,212.73,6.1182053494391715,1378.23,7.457550998322602
Striking against or struck by sports equipment,68.67,1.4339110461474212,16.38,0.3626300642019039,92.82,1.9406230399330964,5.25,0.5737704918032787,39.69,1.1415012942191545,222.81,1.2056165791894378
Interaction with another player,328.02,6.849446648569638,261.45,5.788133717068852,212.1,4.434455362743049,31.29,3.41967213114754,192.57,5.53839516824849,1025.43,5.548563389426979
Overexertion and strenuous or repetitive movements ,67.2,1.4032157026519105,63.629999999999995,1.4086783263227807,113.19,2.366506376750993,40.949999999999996,4.475409836065573,48.51,1.3951682484900776,333.47999999999996,1.8044478112656241
All other causes,233.94,4.884944664856964,161.91,3.5844587115342037,233.73,4.886681998745557,54.809999999999995,5.99016393442623,236.67,6.806729939603106,921.06,4.983821221795358
Total,1005.6899999999999,21.0,948.5699999999999,21.0,1004.43,21.0,192.15,21.0,730.17,21.0,3881.0099999999998,21.0
